time(s)	cellId	rnti	lcid	packetSize
0.1	2	24	3	32
0.1	2	23	3	32
0.1	2	22	3	32
0.1	2	21	3	32
0.1	2	20	3	32
0.1	2	19	3	32
0.1	2	18	3	32
0.1	2	17	3	32
0.1	2	16	3	32
0.1	2	15	3	32
0.1	2	14	3	32
0.1	2	13	3	32
0.1	2	12	3	32
0.1	2	25	3	32
0.1	2	26	3	32
0.1	2	27	3	32
0.1	2	28	3	32
0.1	2	29	3	32
0.1	2	30	3	32
0.1	2	31	3	32
0.1	2	32	3	32
0.1	2	33	3	32
0.1	2	34	3	32
0.1	2	35	3	32
0.1	2	36	3	32
0.1	2	37	3	32
0.1	2	38	3	32
0.1	2	39	3	32
0.1	2	40	3	32
0.1	2	11	3	32
0.1	2	10	3	32
0.1	2	9	3	32
0.1	2	8	3	32
0.1	2	7	3	32
0.1	2	6	3	32
0.1	2	5	3	32
0.1	2	4	3	32
0.1	2	3	3	32
0.1	2	2	3	32
0.1	2	1	3	32
0.16	2	24	3	32
0.16	2	23	3	32
0.16	2	22	3	32
0.16	2	21	3	32
0.16	2	20	3	32
0.16	2	19	3	32
0.16	2	18	3	32
0.16	2	17	3	32
0.16	2	16	3	32
0.16	2	15	3	32
0.16	2	14	3	32
0.16	2	13	3	32
0.16	2	12	3	32
0.16	2	25	3	32
0.16	2	26	3	32
0.16	2	27	3	32
0.16	2	28	3	32
0.16	2	29	3	32
0.16	2	30	3	32
0.16	2	31	3	32
0.16	2	32	3	32
0.16	2	33	3	32
0.16	2	34	3	32
0.16	2	35	3	32
0.16	2	36	3	32
0.16	2	37	3	32
0.16	2	38	3	32
0.16	2	39	3	32
0.16	2	40	3	32
0.16	2	11	3	32
0.16	2	10	3	32
0.16	2	9	3	32
0.16	2	8	3	32
0.16	2	7	3	32
0.16	2	6	3	32
0.16	2	5	3	32
0.16	2	4	3	32
0.16	2	3	3	32
0.16	2	2	3	32
0.16	2	1	3	32
0.17	2	24	3	32
0.17	2	23	3	32
0.17	2	22	3	32
0.17	2	21	3	32
0.17	2	20	3	32
0.17	2	19	3	32
0.17	2	18	3	32
0.17	2	17	3	32
0.17	2	16	3	32
0.17	2	15	3	32
0.17	2	14	3	32
0.17	2	13	3	32
0.17	2	12	3	32
0.17	2	25	3	32
0.17	2	26	3	32
0.17	2	27	3	32
0.17	2	28	3	32
0.17	2	29	3	32
0.17	2	30	3	32
0.17	2	31	3	32
0.17	2	32	3	32
0.17	2	33	3	32
0.17	2	34	3	32
0.17	2	35	3	32
0.17	2	36	3	32
0.17	2	37	3	32
0.17	2	38	3	32
0.17	2	39	3	32
0.17	2	40	3	32
0.17	2	11	3	32
0.17	2	10	3	32
0.17	2	9	3	32
0.17	2	8	3	32
0.17	2	7	3	32
0.17	2	6	3	32
0.17	2	5	3	32
0.17	2	4	3	32
0.17	2	3	3	32
0.17	2	2	3	32
0.17	2	1	3	32
0.18	2	24	3	32
0.18	2	23	3	32
0.18	2	22	3	32
0.18	2	21	3	32
0.18	2	20	3	32
0.18	2	19	3	32
0.18	2	18	3	32
0.18	2	17	3	32
0.18	2	16	3	32
0.18	2	15	3	32
0.18	2	14	3	32
0.18	2	13	3	32
0.18	2	12	3	32
0.18	2	25	3	32
0.18	2	26	3	32
0.18	2	27	3	32
0.18	2	28	3	32
0.18	2	29	3	32
0.18	2	30	3	32
0.18	2	31	3	32
0.18	2	32	3	32
0.18	2	33	3	32
0.18	2	34	3	32
0.18	2	35	3	32
0.18	2	36	3	32
0.18	2	37	3	32
0.18	2	38	3	32
0.18	2	39	3	32
0.18	2	40	3	32
0.18	2	11	3	32
